id,id_cliente,data_vencimento,data_pagamento,valor,categoria,moeda,status
1,1,2023-01-10,2023-01-05,500.00,Vestuário,BRL,Pago
2,1,2023-02-10,2023-02-07,800.00,Cosméticos,BRL,Pago
3,1,2023-03-10,2023-03-10,1500.00,Eletrônicos,BRL,Pago
4,1,2023-04-10,2023-04-10,1500.00,Decoração,BRL,Pago
5,1,2023-05-10,2023-05-25,1200.00,Perfumaria,BRL,Pago
6,1,2023-06-10,NULL,2000.00,Vestuário,BRL,Pendente
7,1,2023-07-10,NULL,2000.00,Eletrônicos,BRL,Pendente
8,1,2023-08-10,NULL,1500.00,Decoração,BRL,Pendente
9,1,2023-09-10,NULL,900.00,Cosméticos,BRL,Pendente
10,1,2023-10-10,NULL,900.00,Perfumaria,BRL,Pendente
11,2,2023-01-10,2023-01-10,400.00,Vestuário,EUR,Pago
12,2,2023-02-10,2023-02-02,600.00,Eletrônicos,EUR,Pago
13,2,2023-03-10,2023-03-20,600.00,Decoração,EUR,Pago
14,2,2023-04-10,2023-04-14,1200.00,Cosméticos,EUR,Pago
15,2,2023-05-10,2023-05-05,1500.00,Perfumaria,EUR,Pago
16,2,2023-06-10,NULL,1500.00,Eletrônicos,EUR,Pendente
17,2,2023-07-10,NULL,1800.00,Vestuário,EUR,Pendente
18,2,2023-08-10,NULL,1500.00,Decoração,EUR,Pendente
19,2,2023-09-10,NULL,1500.00,Cosméticos,EUR,Pendente
20,2,2023-10-10,NULL,1400.00,Perfumaria,EUR,Pendente
21,3,2023-01-10,2023-01-14,700.00,Vestuário,USD,Pago
22,3,2023-02-10,2023-02-10,1000.00,Cosméticos,USD,Pago
23,3,2023-03-10,2023-03-05,1200.00,Eletrônicos,USD,Pago
24,3,2023-04-10,2023-04-08,800.00,Decoração,USD,Pago
25,3,2023-05-10,2023-05-10,900.00,Perfumaria,USD,Pago
26,3,2023-06-10,NULL,1500.00,Vestuário,USD,Pendente
27,3,2023-07-10,NULL,1200.00,Decoração,USD,Pendente
28,3,2023-08-10,NULL,1000.00,Eletrônicos,USD,Pendente
29,3,2023-09-10,NULL,600.00,Cosméticos,USD,Pendente
30,3,2023-10-10,NULL,800.00,Perfumaria,USD,Pendente
31,4,2023-01-10,2023-01-02,400.00,Vestuário,EUR,Pago
32,4,2023-02-10,2023-02-06,600.00,Eletrônicos,EUR,Pago
33,4,2023-03-10,2023-03-01,700.00,Decoração,EUR,Pago
34,4,2023-04-10,2023-04-10,1000.00,Cosméticos,EUR,Pago
35,4,2023-05-10,2023-05-20,1200.00,Perfumaria,EUR,Pago
36,4,2023-06-10,NULL,1500.00,Vestuário,EUR,Pendente
37,4,2023-07-10,NULL,1800.00,Decoração,EUR,Pendente
38,4,2023-08-10,NULL,1200.00,Cosméticos,EUR,Pendente
39,4,2023-09-10,NULL,200.00,Eletrônicos,EUR,Pendente
40,4,2023-10-10,NULL,300.00,Perfumaria,EUR,Pendente
41,5,2023-01-10,2023-01-04,1400.00,Vestuário,CNY,Pago
42,5,2023-02-10,2023-02-03,2000.00,Eletrônicos,CNY,Pago
43,5,2023-03-10,2023-03-10,1200.00,Decoração,CNY,Pago
44,5,2023-04-10,2023-04-10,800.00,Cosméticos,CNY,Pago
45,5,2023-05-10,2023-05-06,900.00,Perfumaria,CNY,Pago
46,5,2023-06-10,NULL,1500.00,Vestuário,CNY,Pendente
47,5,2023-07-10,NULL,1200.00,Decoração,CNY,Pendente
48,5,2023-08-10,NULL,1000.00,Eletrônicos,CNY,Pendente
49,5,2023-09-10,NULL,500.00,Cosméticos,CNY,Pendente
50,5,2023-10-10,NULL,600.00,Perfumaria,CNY,Pendente
51,6,2023-01-10,2023-01-06,400.00,Vestuário,EGP,Pago
52,6,2023-02-10,2023-02-09,600.00,Eletrônicos,EGP,Pago
53,6,2023-03-10,2023-03-10,700.00,Decoração,EGP,Pago
54,6,2023-04-10,2023-04-03,1000.00,Cosméticos,EGP,Pago
55,6,2023-05-10,2023-05-06,1200.00,Perfumaria,EGP,Pago
56,6,2023-06-10,NULL,1500.00,Vestuário,EGP,Pendente
57,6,2023-07-10,NULL,1800.00,Decoração,EGP,Pendente
58,6,2023-08-10,NULL,2000.00,Eletrônicos,EGP,Pendente
59,6,2023-09-10,NULL,1900.00,Cosméticos,EGP,Pendente
60,6,2023-10-10,NULL,900.00,Perfumaria,EGP,Pendente
61,7,2023-01-10,2023-01-10,1200.00,Vestuário,KRW,Pago
62,7,2023-02-10,2023-02-03,800.00,Eletrônicos,KRW,Pago
63,7,2023-03-10,2023-03-14,600.00,Decoração,KRW,Pago
64,7,2023-04-10,2023-04-20,400.00,Cosméticos,KRW,Pago
65,7,2023-05-10,2023-05-01,900.00,Perfumaria,KRW,Pago
66,7,2023-06-10,NULL,1500.00,Vestuário,KRW,Pendente
67,7,2023-07-10,NULL,800.00,Decoração,KRW,Pendente
68,7,2023-08-10,NULL,1200.00,Cosméticos,KRW,Pendente
69,7,2023-09-10,NULL,500.00,Eletrônicos,KRW,Pendente
70,7,2023-10-10,NULL,600.00,Perfumaria,KRW,Pendente
71,8,2023-01-10,2023-01-10,400.00,Vestuário,CLP,Pago
72,8,2023-02-10,2023-02-09,600.00,Eletrônicos,CLP,Pago
73,8,2023-03-10,2023-03-01,700.00,Decoração,CLP,Pago
74,8,2023-04-10,2023-04-12,1000.00,Cosméticos,CLP,Pago
75,8,2023-05-10,2023-05-04,1200.00,Perfumaria,CLP,Pago
76,8,2023-06-10,NULL,1500.00,Vestuário,CLP,Pendente
77,8,2023-07-10,NULL,1800.00,Decoração,CLP,Pendente
78,8,2023-08-10,NULL,2000.00,Eletrônicos,CLP,Pendente
79,8,2023-09-10,NULL,500.00,Cosméticos,CLP,Pendente
80,8,2023-10-10,NULL,900.00,Perfumaria,CLP,Pendente
81,9,2023-01-10,2023-01-10,1000.00,Vestuário,BRL,Pago
82,9,2023-02-10,2023-02-09,800.00,Eletrônicos,BRL,Pago
83,9,2023-03-10,2023-03-11,600.00,Decoração,BRL,Pago
84,9,2023-04-10,2023-04-04,400.00,Cosméticos,BRL,Pago
85,9,2023-05-10,2023-05-09,900.00,Perfumaria,BRL,Pago
86,9,2023-06-10,NULL,1500.00,Vestuário,BRL,Pendente
87,9,2023-07-10,NULL,800.00,Decoração,BRL,Pendente
88,9,2023-08-10,NULL,1200.00,Cosméticos,BRL,Pendente
89,9,2023-09-10,NULL,500.00,Eletrônicos,BRL,Pendente
90,9,2023-10-10,NULL,600.00,Perfumaria,BRL,Pendente
91,10,2023-01-10,2023-01-01,1200.00,Vestuário,MXN,Pago
92,10,2023-02-10,2023-02-03,800.00,Eletrônicos,MXN,Pago
93,10,2023-03-10,2023-03-10,700.00,Decoração,MXN,Pago
94,10,2023-04-10,2023-04-13,1000.00,Cosméticos,MXN,Pago
95,10,2023-05-10,2023-05-08,1200.00,Perfumaria,MXN,Pago
96,10,2023-06-10,NULL,1500.00,Vestuário,MXN,Pendente
97,10,2023-07-10,NULL,1800.00,Decoração,MXN,Pendente
98,10,2023-08-10,NULL,2000.00,Eletrônicos,MXN,Pendente
99,10,2023-09-10,NULL,500.00,Cosméticos,MXN,Pendente
100,10,2023-10-10,NULL,600.00,Perfumaria,MXN,Pendente
